round_id,symbol,direction,open_time,close_time,open_price,close_price,max_position,open_trades_count,close_trades_count,pnl_xbt,holding_duration,is_closed,pnl_from_wallet
384,ETHUSD,Short,2022-04-11 09:36:15.567000+00:00,2022-04-11 12:43:55.106000+00:00,3121.35,3063.86,-100,1,3,,0 days 03:07:39.539000,True,0.003121
385,ETHUSD,Short,2022-04-14 05:54:31.435000+00:00,2022-04-15 05:45:21.269000+00:00,3112.057142857143,3026.339928571429,-700,36,20,,0 days 23:50:49.834000,True,0.015798
386,ETHUSD,Short,2022-04-19 14:05:31.346000+00:00,2022-04-20 11:41:14.902000+00:00,3127.05,3138.65,-200,4,2,,0 days 21:35:43.556000,True,0.0
387,ETHUSD,Short,2022-04-25 01:54:41.404000+00:00,2022-04-25 11:48:30.563000+00:00,2862.7883333333334,2859.126533333333,-1500,35,20,,0 days 09:53:49.159000,True,0.0
388,ETHUSD,Long,2022-04-29 01:30:04.520000+00:00,2022-04-29 03:39:15.912000+00:00,2937.355,2914.1075,1400,34,34,,0 days 02:09:11.392000,True,0.0
389,ETHUSD,Short,2022-04-29 03:39:29.470000+00:00,2022-05-01 12:25:39.627000+00:00,2924.25,2769.2865853658536,-82,3,6,,2 days 08:46:10.157000,True,-3.298238
390,ETHUSD,Short,2022-05-02 10:58:41.936000+00:00,2022-05-04 10:27:29.869000+00:00,2832.32075,2859.714222222222,-1800,46,38,,1 days 23:28:47.933000,True,1.353415
391,ETHUSD,Short,2022-05-04 11:27:04.079000+00:00,2022-05-04 19:08:29.096000+00:00,2914.0,2963.2316,-1000,11,15,,0 days 07:41:25.017000,True,-4.949198
392,ETHUSD,Short,2022-05-07 07:02:59.989000+00:00,2022-05-07 22:09:15.178000+00:00,2685.307142857143,2634.3492857142855,-700,24,16,,0 days 15:06:15.189000,True,-0.009262
393,ETHUSD,Short,2022-05-18 13:00:31.502000+00:00,2022-05-18 16:25:12.725000+00:00,1995.0901250000002,1952.2665,-800,21,9,,0 days 03:24:41.223000,True,0.0
394,ETHUSD,Short,2022-05-19 15:22:53.596000+00:00,2022-05-20 14:27:33.755000+00:00,2020.3333333333333,2010.1009583333332,-1200,23,9,,0 days 23:04:40.159000,True,0.414755
395,ETHUSD,Long,2022-06-07 14:47:31.341000+00:00,2022-06-11 12:20:30.246000+00:00,1780.332578125,1674.610078125,3200,49,50,,3 days 21:32:58.905000,True,-10.784934
396,ETHUSD,Long,2022-06-24 19:44:09.449000+00:00,2022-07-07 22:59:26.954000+00:00,1204.1989420423183,1233.0861545538178,1087,9,5,,13 days 03:15:17.505000,True,-0.9637340000000001
397,ETHUSD,Long,2022-07-16 16:11:19.570000+00:00,2022-08-13 08:55:50.866000+00:00,1338.0667375886526,1484.3663120567376,1410,18,17,,27 days 16:44:31.296000,True,18.395228999999997
398,ETHUSD,Long,2022-10-31 10:02:04.043000+00:00,2022-10-31 15:45:59.746000+00:00,1623.2,1569.093918918919,222,2,2,,0 days 05:43:55.703000,True,0.003602
399,ETHUSD,Long,2022-10-31 22:03:50.382000+00:00,2022-11-01 03:34:09.302000+00:00,1561.773441108545,1585.3048498845264,433,6,16,,0 days 05:30:18.920000,True,0.0
400,ETHUSD,Long,2022-11-01 18:32:28.147000+00:00,2022-11-02 20:10:49.410000+00:00,1568.6493620606645,1552.8912734713529,3110,39,62,,1 days 01:38:21.263000,True,-0.094654
401,ETHUSD,Long,2022-11-02 20:13:50.429000+00:00,2022-11-03 03:36:56.773000+00:00,1518.6324877250408,1552.6428396072013,1222,10,13,,0 days 07:23:06.344000,True,0.0
402,ETHUSD,Long,2022-11-03 20:34:09.587000+00:00,2022-11-03 21:31:48.871000+00:00,1541.2469117647058,1541.011911764706,340,4,6,,0 days 00:57:39.284000,True,0.0
403,ETHUSD,Long,2022-11-04 05:31:28.977000+00:00,2022-11-08 19:21:41.295000+00:00,1556.7534180052296,1410.919929025028,2677,30,47,,4 days 13:50:12.318000,True,-0.14086600000000005
404,ETHUSD,Short,2022-11-17 13:02:41.466000+00:00,2022-11-17 17:04:07.346000+00:00,1205.325985915493,1217.0799647887325,-1420,17,5,,0 days 04:01:25.880000,True,0.0
405,ETHUSD,Short,2022-11-20 13:08:47.334000+00:00,2022-11-21 05:25:15.947000+00:00,1159.8275905797102,1132.9558152173913,-2760,24,17,,0 days 16:16:28.613000,True,0.0
406,ETHUSD,Short,2022-11-21 06:04:13.203000+00:00,2022-11-21 07:45:16.864000+00:00,1136.0,1121.2006944444445,-144,1,2,,0 days 01:41:03.661000,True,0.0
407,ETHUSD,Short,2022-11-21 10:22:36.445000+00:00,2022-11-21 13:13:58.662000+00:00,1125.29609375,1134.1124565972223,-1152,16,6,,0 days 02:51:22.217000,True,7.399083
408,ETHUSD,Short,2022-11-21 16:32:37.706000+00:00,2022-11-23 09:07:33.125000+00:00,1104.8835660315374,1145.196632720105,-6088,38,36,,1 days 16:34:55.419000,True,-1.206454
409,ETHUSD,Long,2022-11-27 21:40:01.463000+00:00,2022-11-29 06:49:27.670000+00:00,1186.0411184210527,1190.776473112128,3496,21,19,,1 days 09:09:26.207000,True,-0.014419
410,ETHUSD,Long,2022-11-29 08:40:31.280000+00:00,2022-12-07 06:52:29.311000+00:00,1247.818096069869,1269.3139883551673,7905,102,82,,7 days 22:11:58.031000,True,36.72217499999999
411,ETHUSD,Long,2022-12-07 07:12:48.210000+00:00,2022-12-12 00:04:12.432000+00:00,1228.2166666666667,1256.535529187125,3666,7,32,,4 days 16:51:24.222000,True,4.093051999999999
412,ETHUSD,Long,2023-02-15 14:34:36.330000+00:00,2023-02-16 07:03:33.690000+00:00,1577.9583333333333,1687.346584084084,1332,6,15,,0 days 16:28:57.360000,True,0.0
413,ETHUSD,Long,2023-03-22 20:43:26.613000+00:00,2023-03-26 04:30:20.487000+00:00,1736.4602659245515,1732.8363095238096,4246,66,40,,3 days 07:46:53.874000,True,-0.542387
414,ETHUSD,Long,2023-03-27 15:00:20.096000+00:00,2023-03-30 01:29:23.428000+00:00,1696.316990291262,1788.769249201278,3090,16,30,,2 days 10:29:03.332000,True,-1.5208119999999998
415,ETHUSD,Short,2023-03-30 01:29:23.428000+00:00,2023-03-30 02:23:55.552000+00:00,1793.55,1810.5,-350,3,1,,0 days 00:54:32.124000,True,0.0
416,ETHUSD,Long,2023-04-20 17:07:08.253000+00:00,2023-04-20 17:29:20.720000+00:00,1942.3988299883001,1947.8369993699935,11111,73,96,,0 days 00:22:12.467000,True,0.0
417,ETHUSD,Short,2023-04-20 17:32:14.650000+00:00,2023-04-20 17:37:33.933000+00:00,1949.6500000000003,1947.7545045045044,-333,1,4,,0 days 00:05:19.283000,True,0.0
418,ETHUSD,Long,2023-04-24 17:02:17.047000+00:00,2023-04-24 23:59:22.159000+00:00,1811.0,1842.5202702702702,333,6,2,,0 days 06:57:05.112000,True,0.0
419,ETHUSD,Long,2023-05-12 02:56:24.897000+00:00,2023-05-12 05:45:55.950000+00:00,1766.0,1765.1936186186185,666,1,12,,0 days 02:49:31.053000,True,0.0
420,ETHUSD,Long,2023-06-14 20:05:05.838000+00:00,2023-06-18 01:37:56.688000+00:00,1682.8655036578502,1686.3248207391064,1777,11,16,,3 days 05:32:50.850000,True,3.3019869999999996
421,ETHUSD,Short,2023-06-18 01:37:56.688000+00:00,2023-06-18 02:29:08.255000+00:00,1725.55,1727.3999999999999,-798,6,6,,0 days 00:51:11.567000,True,0.0
422,ETHUSD,Short,2023-07-24 20:14:29.616000+00:00,2023-08-14 14:42:32.353000+00:00,1860.3355518112887,1859.1027289187791,-2021,52,32,,20 days 18:28:02.737000,True,13.209793000000001
423,ETHUSD,Long,2023-08-14 14:42:32.353000+00:00,2023-08-14 19:19:35.512000+00:00,1852.142208857299,1839.9,1777,10,7,,0 days 04:37:03.159000,True,0.0
424,ETHUSD,Short,2023-08-16 06:05:02.733000+00:00,2023-10-16 14:59:33.939000+00:00,1643.7757061551436,1602.6576763631253,-1330,239,147,,61 days 08:54:31.206000,True,134.096085
425,ETHUSD,Short,2023-10-16 17:25:31.912000+00:00,2023-10-17 15:20:42.489000+00:00,1594.4015442404007,1576.4403171953256,-1198,25,7,,0 days 21:55:10.577000,True,-1.642823
